SPY,
VOO,
VTI,
VWO,
QQQ,
AAPL,
MSFT,
TSLA,
AMZN,
META,
GOOGL,
NVDA,
AMD,
QS,
TSLA,
PLUG,
COST,
TGT,
CMG,
DG,
DLTR,
NKE,
EXPE,
PYPL,
IONQ,
RGTI,
COST,
SPOT,
DASH,
NFLX,
DIS,
SBUX,
HD,
LLY,
ABBV,
AMGN,
TGT,
WM,
V,
MA,
AXP,
BX,
PSA,
SPG,
PLD
